year,wimbledon_prize_money,prize_money_ratio,inflation
1968,750,2800,8.26
1969,1500,1400,7.83
1970,1500,1400,7.41
1971,1800,1166.666667,7.1
1972,3000,700,6.88
1973,3000,700,6.48
1974,7000,300,5.83
1975,7000,300,5.34
1976,10000,210,5.05
1977,13500,155.5555556,4.74
1978,17100,122.8070175,4.41
1979,18000,116.6666667,3.96
1980,18000,116.6666667,3.49
1981,19400,108.2474227,3.16
1982,37500,56,2.98
1983,60000,35,2.89
1984,90000,23.33333333,2.77
1985,117000,17.94871795,2.67
1986,126000,16.66666667,2.62
1987,139500,15.05376344,2.53
1988,148500,14.14141414,2.43
1989,171000,12.28070175,2.32
1990,207000,10.14492754,2.2
1991,216000,9.722222222,2.11
1992,240000,8.75,2.05
1993,275000,7.636363636,1.99
1994,310000,6.774193548,1.94
1995,328000,6.402439024,1.89
1996,353000,5.949008499,1.83
1997,373500,5.62248996,1.79
1998,391500,5.363984674,1.76
1999,409500,5.128205128,1.73
2000,430000,4.88372093,1.67
2001,462500,4.540540541,1.62
2002,486000,4.320987654,1.6
2003,535000,3.925233645,1.56
2004,560500,3.746654773,1.52
2005,600000,3.5,1.47
2006,625000,3.36,1.43
2007,700000,3,1.39
2008,750000,2.8,1.34
2009,850000,2.470588235,1.34
2010,1000000,2.1,1.32
2011,1100000,1.909090909,1.28
2012,1150000,1.826086957,1.25
2013,1600000,1.3125,1.23
2014,1760000,1.193181818,1.21
2015,1880000,1.117021277,1.21
2016,2000000,1.05,1.2
2017,2200000,0.9545454545,1.17
2018,2250000,0.9333333333,1.14
2019,2350000,0.8936170213,1.12
2020,1700000,1.235294118,1.11
2021,1700000,1.235294118,1.06
2022,2100000,1,1
